Actress,Year,Play,Dramatist,Role,Type,Generic markers
Jane Rogers,1692,The Volunteers,Thomas Shadwell,Winifred,affected girl,
Jane Rogers,1693,The Maid’s Last Prayer,Thomas Southerne,Maria,young girl,
Jane Rogers,1693,The Female Vertuoso’s,Thomas Wright,Lucy,maid,
Jane Rogers,1694,The Ambitious Slave,Elkanah Settle,Mirvan,eunuch,breeches
Jane Rogers,1694,The Canterbury Guests,Edward Ravenscroft,Jacinta,young girl,
Jane Rogers,1695,The Mock-Marriage,Thomas Scott,Marina,young girl,
Jane Rogers,1695,Bonduca,Anon.,Claudia,young girl,raped
Jane Rogers,1695,The Rival Sisters,Robert Gould,Berinthia,young girl,
Jane Rogers,1695,Oroonoko,Thomas Southerne,Imoinda,young girl,
Jane Rogers,1695,Agnes de Castro,Catherine Trotter,Agnes,young girl,
Jane Rogers,1696,Philaster,Elkanah Settle,Bellario,young girl,breeches
Jane Rogers,1696,Love’s Last Shift,Colley Cibber,Amanda,wife,
Jane Rogers,1696,Neglected Virtue,Charles Hopkins,Alinda,young girl,
Jane Rogers,1696,The Lost Lover,Delariviere Manley,Marina,young girl,
Jane Rogers,1696,Pausanias,Richard Norton,Anchilthea,mother,
Jane Rogers,1696,Ibrahim,Mary Pix,Morena,young girl,raped
Jane Rogers,1696,The Unhappy Kindness,Thomas Scott,Evanthe,young girl,raped
Jane Rogers,1696,The Relapse,John Vanbrugh,Amanda,wife,
Jane Rogers,1697,Woman's Wit,Colley Cibber,Emilia,young girl,
Jane Rogers,1697,The Triumphs of Virtue,Anon.,Bellamira,young girl,
Jane Rogers,1697,A Plot and No Plot,John Dennis,Sylvia,young girl,
Jane Rogers,1697,The Sham Lawyer,James Drake,Florella,wife,
Jane Rogers,1698,The Island Princess,Peter Motteux,Quisara,young girl,
Jane Rogers,1698,Love and a Bottle,George Farquhar,Lucinda,young girl,
Jane Rogers,1699,Love Without Interest,William Penkethman,Honoria,young girl,
Jane Rogers,1699,Massaniello,Thomas Durfey,Duchess,wife,raped
Jane Rogers,1699,The Constant Couple,George Farquhar,Angelica,young girl,
Jane Rogers,1699,King Richard III,Colley Cibber,Ann,wife,
Jane Rogers,1699,Achilles,Abel Boyer,Iphigenia,young girl,
Jane Rogers,1700,The Grove,John Oldmixon,Aurelia,young girl,
Jane Rogers,1700,The Reform’d Wife,William Burnaby,Clarinda,young girl,
Jane Rogers,1700,Courtship a la Mode,David Craufurd,Flora,young girl,
Susannah Mountfort,1681,Sir Barnaby Whigg,Thomas Durfey,Winifred,jilt,
Susannah Mountfort,1683,Dame Dobson,Edward Ravenscroft,Mrs Susan,country girl,
Susannah Mountfort,1683,The Atheist,Thomas Otway,Phillis,maid,
Susannah Mountfort,1684,The Disappointment,Thomas Southerne,Juliana,seduced girl,
Susannah Mountfort,1684,A Duke and No Duke,Nahum Tate,Prudentia,young girl,
Susannah Mountfort,1684,Cuckolds-Haven,Nahum Tate,Girtred,affected girl,
Susannah Mountfort,1684,A Commonwealth of Women,Thomas Durfey,Julietta,young girl,
Susannah Mountfort,1686,The Banditti,Thomas Durfey,Lucia,young girl,
Susannah Mountfort,1686,The Devil of a Wife,Thomas Jevon,Nell,wife,
Susannah Mountfort,1686,The Lucky Chance,Aphra Behn,Diana,young girl,
Susannah Mountfort,1687,The Emperour of the Moon,Aphra Behn,Bellemante,young girl,
Susannah Mountfort,1687,The Island Princess,Nahum Tate,Panura,maid,
Susannah Mountfort,1688,The Squire of Alsatia,Thomas Shadwell,Isabella,young girl,
Susannah Mountfort,1689,The Fortune-Hunters,James Carlile,Maria,young girl,
Susannah Mountfort,1689,Bury Fair,Thomas Shadwell,Gertrude,young girl,
Susannah Mountfort,1689,Don Sebastian,John Dryden,Morayma,young girl,
Susannah Mountfort,1690,The Successful Strangers,William Mountfort,Feliciana,young girl,
Susannah Mountfort,1690,Sir Anthony Love,Thomas Southerne,Sir Anthony,mistress,breeches
Susannah Mountfort,1690,Amphitryon,John Dryden,Phaedra,maid,
Susannah Mountfort,1691,Greenwich Park,William Mountfort,Florella,young girl,
Susannah Mountfort,1691,The Wives’ Excuse,Thomas Southerne,Mrs Wittwoud,wife,
Susannah Mountfort,1692,The Volunteers,Thomas Shadwell,Eugenia,young girl,
Susannah Mountfort,1693,The Maid’s Last Prayer,Thomas Southerne,Lady Susan,old woman,
Susannah Mountfort,1693,The Old Bachelor,William Congreve,Belinda,affected girl,
Susannah Mountfort,1693,A Very Good Wife,George Powell,Annabella,wife,breeches
Susannah Mountfort,1693,The Female Virtuosos,Thomas Wright,Catchat,old woman,
Susannah Mountfort,1693,The Double-Dealer,William Congreve,Lady Froth,coquette,
Susannah Mountfort,1694,Love Triumphant,John Dryden,Dalinda,mistress,
Susannah Mountfort,1694,The Married Beau,John Crowne,Lionell,young girl,
Susannah Mountfort,1694,Don Quixote Part 1,Thomas Durfey,Mary the Buxom,country girl,
Susannah Mountfort,1694,Don Quixote Part 2,Thomas Durfey,Mary the Buxom,country girl,
Susannah Mountfort,1694,The Canterbury Guests,Edward Ravenscroft,Hillaria ,young girl,breeches
Susannah Mountfort,1695,The Mock-Marriage,Thomas Scott,Clarinda,young girl,breeches
Susannah Mountfort,1695,The Rival Sisters,Robert Gould,Ansilva,villainess,
Susannah Mountfort,1695,Don Quixote Part 3,Thomas Durfey,Mary the Buxom,country girl,
Susannah Mountfort,1695,Oroonoko,Thomas Southerne,Charlot,young girl,breeches
Susannah Mountfort,1696,Love’s Last Shift,Colley Cibber,Narcissa,young girl,
Susannah Mountfort,1696,The Younger Brother,Aphra Behn,Olivia,young girl,breeches
Susannah Mountfort,1696,The Lost Lover,Delariviere Manley,Olivia,wife,
Susannah Mountfort,1696,Pausanias,Richard Norton,Demetria,widow,
Susannah Mountfort,1696,Ibrahim,Mary Pix,Achmet,eunuch,breeches
Susannah Mountfort,1696,The Female Wits,Anon.,Marsilia,playwright,
Susannah Mountfort,1696,The Spanish Wives,Mary Pix,Governor’s wife,wife,
Susannah Mountfort,1696,The Relapse,John Vanbrugh,Berinthia,coquette,
Susannah Mountfort,1696,Aesop,John Vanbrugh,Nurse,nurse,
Susannah Mountfort,1697,The World in the Moon,Elkanah Settle,Jacintha,young girl,
Susannah Mountfort,1698,The Fatal Discovery,Anon.,Margaretta,wife,
Susannah Mountfort,1698,The Campaigners,Thomas Durfey,Madam la Marquise,wife,
Susannah Mountfort,1699,Love Without Interest,William Penkethman?,Letitia,young girl,
Susannah Mountfort,1699,The Constant Couple,George Farquhar,Lurewell,coquette,
Susannah Mountfort,1700,The Reform’d Wife,William Burnaby,Lady Dainty,wife,
Susannah Mountfort,1700,Love at a Loss,Catherine Trotter,Miranda,coquette,
Susannah Mountfort,1700,Love Makes a Man,Colley Cibber,Louisa,darker woman,
Rebecca Marshall,1667,The Chances,Duke of Buckingham,First Constantia ,young girl,
Rebecca Marshall,1667,Secret Love,John Dryden,Queen of Sicily,passionate queen,
Rebecca Marshall,1667,The Black Prince,Roger Boyle,Plantaginet,young girl,
Rebecca Marshall,1668,The Damoiselles a la Mode,Richard Flecknoe,Anne,young girl,
Rebecca Marshall,1669,Tyrannick Love,John Dryden,Berenice,young girl,
Rebecca Marshall,1670,The Roman Empress,William Joyner,Fulvia,villainess,
Rebecca Marshall,1670,The Conquest of Granada Part 2,John Dryden,Lyndaraxa,villainess,
Rebecca Marshall,1671,The Generous Enemies,John Corye,Jaccinta,young girl,
Rebecca Marshall,1672,Marriage a la Mode,John Dryden,Doralice,wife,breeches
Rebecca Marshall,1672,The Assignation,John Dryden,Lucretia,young girl,
Rebecca Marshall,1673,Amboyna,John Dryden,Isabinda,young girl,
Rebecca Marshall,1674,Nero,Nathaniel Lee,Poppea,villainess,
Rebecca Marshall,1675,Aureng-Zebe,John Dryden,Nourmahal,villainess,
Rebecca Marshall,1676,Gloriana,Nathaniel Lee,Gloriana,young girl,
Rebecca Marshall,1676,The Plain Dealer,William Wycherley,Olivia,villainess,
Rebecca Marshall,1677,Destruction of Jerusalem,John Crowne,Berenice,passionate queen,
Rebecca Marshall,1677,The Country Innocence,John Leanerd,Lady Lovely,widow,
Rebecca Marshall,1677,The Rival Queens,Nathaniel Lee,Roxana,villainess,
Rebecca Marshall,1677,A Fond Husband,Thomas Durfey,Maria,vengeful girl,
Jane Long,1661,Cutter of Coleman Street,Abraham Cowley,Laughing Jane,servant ,
Jane Long,1663,The Adventures of Five Hours,Samuel Tuke,Flora,maid ,
Jane Long,1663,The Slighted Maid,Robert Stapylton,Diacelia,young girl ,
Jane Long,1664,The Stepmother,Robert Stapylton,Brianella,maid,
Jane Long,1664,The Comical Revenge,George Etherege,Widow,widow,
Jane Long,1664,Henry the Fifth,Roger Boyle,Queen of France,ruler ,
Jane Long,1665,The Rivals,William Davenant,Leucippe,maid,
Jane Long,1665,Mustapha,Roger Boyle,Zarma,maid,
Jane Long,1667,The Tempest,Dryden & Davenant,Hypolito ,young man,breeches
Jane Long,1669,Mr. Anthony,Roger Boyle,Mrs Nell,young girl,
Jane Long,1670,The Woman Made a Justice,Thomas Betterton,The Justice,young girl,
Jane Long,1670,The Women’s Conquest,Edward Howard,Mandana,ruler,
Jane Long,1670,The Amorous Widow,Thomas Betterton,Mrs Brittle,wife,
Jane Long,1671,Cambyses,Elkanah Settle,Osiris ,young man,breeches
Jane Long,1671,The Six Days Adventure,Edward Howard,Crispina,young girl,
Jane Long,1671,The Town-Shifts,Edward Revet,Fickle,young girl,
Jane Long,1672,Juliana,John Crowne,Paulina,young girl,breeches
Jane Long,1672,The Morning Ramble,Henry Nevil Payne,Betty Rash,young girl,
Jane Long,1673,Macbeth (adapt.),William Davenant,Lady Macduff,wife,
Frances Maria Knight,1684,The Disappointment,Thomas Southerne,Angelline,young girl,
Frances Maria Knight,1685,A Commonwealth of Women,Thomas Durfey,Aglaura,young girl,
Frances Maria Knight,1688,The Squire of Alsatia,Thomas Shadwell,Teresia,young girl,
Frances Maria Knight,1689,The Fortune-Hunters,James Carlile,Mrs Spruce,wife ,
Frances Maria Knight,1689,The Massacre of Paris,Nathaniel Lee,Queen of Navarre,ruler ,
Frances Maria Knight,1689,The Widow Ranter,Aphra Behn,Madam Surelove,wife,
Frances Maria Knight,1690,The Successful Strangers,William Mountfort,Dorothea,young girl,
Frances Maria Knight,1690,Sir Anthony Love,Thomas Southerne,Volante,young girl,
Frances Maria Knight,1691,Love for Money,Thomas Durfey,Miss Jenny,overgrown romp,
Frances Maria Knight,1691,Greenwich Park,William Mountfort,Mrs Raison,wife,breeches
Frances Maria Knight,1692,The Volunteers,Thomas Shadwell,Teresia,affected girl,
Frances Maria Knight,1693,The Richmond Heiress,Thomas Durfey,Madam Squeamish,affected girl,
Frances Maria Knight,1693,A Very Good Wife,George Powell,Widow Lacy,widow,
Frances Maria Knight,1693,The Female Virtuoso’s,Thomas Wright,Lovewitt,affected girl,
Frances Maria Knight,1694,The Fatal Marriage,Thomas Southerne,Julia,wife,
Frances Maria Knight,1694,The Ambitious Slave,Elkanah Settle,Herminia,wife,
Frances Maria Knight,1694,Don Quixote Part 1,Thomas Durfey,Dorothea,young girl,
Frances Maria Knight,1694,Don Quixote Part 2,Thomas Durfey,Duchess,wife,
Frances Maria Knight,1694,The Canterbury Guests,Edward Ravenscroft,Arabella,young girl,breeches
Frances Maria Knight,1695,The Mock-Marriage,Thomas Scott,Lady Barter,mistress,
Frances Maria Knight,1695,Bonduca,Anon.,Bonduca,ruler,
Frances Maria Knight,1695,The Rival Sisters,Robert Gould,Catalina,villainess,
Frances Maria Knight,1695,Oroonoko,Thomas Southerne,Widow Lackit,widow,
Frances Maria Knight,1695,Agnes de Castro,Catherine Trotter,Elvira,villainess,
Frances Maria Knight,1695,Philaster,Elkanah Settle,Arethusa,young girl,
Frances Maria Knight,1696,The Young Brother,Aphra Behn,Mirtilla,jin,
Frances Maria Knight,1696,Neglected Virtue,Charles Hopkins,Thermusa,villainess,
Frances Maria Knight,1696,The Lost Lover,Delariviere Manley,Belira,mistress,
Frances Maria Knight,1696,Pausanias,Richard Norton,Pandora,mistress,
Frances Maria Knight,1696,Ibrahim,Mary Pix,Sheker Para,villainess,
Frances Maria Knight,1696,The Female Wits,Anon.,Lady Loveall,villainess,
Frances Maria Knight,1697,Woman’s Wit,Colley Cibber,Leonora,coquette,
Frances Maria Knight,1697,The Sham Lawyer,James Drake,Olympia,widow,
Frances Maria Knight,1698,The Fatal Discovery,Anon.,Berengaria,mother,
Frances Maria Knight,1698,Caligula,John Crowne,Cesonia,wife,
Frances Maria Knight,1698,Phaeton,Charles Gildon,Althea,wife,
Frances Maria Knight,1698,The Campaigners,Thomas Durfey,Angelica,seduced girl,
Frances Maria Knight,1699,King Richard III,Colley Cibber,Queen Elizabeth,mother,
Frances Maria Knight,1700,The Reform’d Wife,William Burnaby,Astra,wife,
Frances Maria Knight,1700,Love at a Loss,Catherine Trotter,Lesbia,seduced girl,
Frances Maria Knight,1700,Love Makes a Man,Colley Cibber,Elvira,young girl,
Mary Lee,1670,The Forc'd Marriage,Aphra Behn,Olinda,young girl,
Mary Lee,1670,The Women’s Conquest,Edward Howard,Doranthe,young girl,
Mary Lee,1671,The Six Days Adventure,Edward Howard,Eugenia,young girl,
Mary Lee,1671,The Town-Shifts,Edward Revet,Leticia,young girl,
Mary Lee,1671,Herod and Mariamne,Samuel Pordage,Salome,villainess,
Mary Lee,1673,The Reformation,Joseph Arrowsmith,Aemilia,mistress,
Mary Lee,1673,The Empress of Morocco,Elkanah Settle,Mariamne,young girl,
Mary Lee,1674,Love and Revenge,Elkanah Settle,Nigrello,seduced girl,breeches ; raped
Mary Lee,1675,The Conquest of China,Elkanah Settle,Amavanga,ruler,breeches
Mary Lee,1675,Alcibiades,Thomas Otway,Deidamia,villainess,
Mary Lee,1676,The Countrey Wit,John Crowne,Christina,young girl,
Mary Lee,1676,Ibrahim,Elkanah Settle,Roxalana,wife,
Mary Lee,1676,The Man of Mode,George Etherege,Mrs Loveit,mistress,
